551.0,747.0,1.69700887183E9
553.0,748.0,1.697008872335E9
553.0,748.0,1.6970088723470001E9
552.0,748.0,1.697008872355E9
552.0,747.0,1.6970088723630002E9
552.0,747.0,1.697008872371E9
553.0,747.0,1.697008872384E9
553.0,747.0,1.697008872391E9
553.0,747.0,1.697008872402E9
553.0,747.0,1.697008872407E9
553.0,747.0,1.6970088724190001E9
553.0,747.0,1.697008872427E9
553.0,747.0,1.697008872435E9
553.0,747.0,1.697008872443E9
553.0,747.0,1.697008872451E9
553.0,747.0,1.697008872463E9
552.0,747.0,1.697008872471E9
551.0,747.0,1.697008872479E9
549.0,745.0,1.697008872487E9
546.0,743.0,1.6970088725E9
540.0,740.0,1.697008872507E9
533.0,735.0,1.697008872515E9
525.0,728.0,1.697008872523E9
515.0,718.0,1.6970088725310001E9
503.0,706.0,1.697008872543E9
490.0,690.0,1.697008872551E9
476.0,670.0,1.697008872559E9
462.0,647.0,1.6970088725670002E9
447.0,619.0,1.697008872579E9
433.0,588.0,1.6970088725870001E9
419.0,553.0,1.697008872595E9
407.0,516.0,1.697008872603E9
396.0,477.0,1.697008872615E9
389.0,438.0,1.6970088726230001E9
383.0,399.0,1.697008872631E9
381.0,360.0,1.697008872639E9
381.0,323.0,1.697008872647E9
384.0,286.0,1.697008872659E9
389.0,253.0,1.697008872667E9
397.0,222.0,1.697008872675E9
406.0,195.0,1.697008872683E9
418.0,173.0,1.697008872695E9
432.0,155.0,1.697008872703E9
448.0,143.0,1.697008872711E9
465.0,135.0,1.697008872719E9
484.0,133.0,1.697008872731E9
505.0,135.0,1.697008872739E9
527.0,142.0,1.697008872747E9
551.0,153.0,1.697008872755E9
575.0,169.0,1.697008872763E9
601.0,189.0,1.697008872775E9
626.0,215.0,1.697008872783E9
651.0,247.0,1.6970088727910001E9
676.0,286.0,1.697008872799E9
699.0,331.0,1.697008872807E9
720.0,381.0,1.69700887282E9
741.0,436.0,1.6970088728270001E9
760.0,492.0,1.697008872836E9
760.0,492.0,1.6970088728470001E9
